language;voc;page;line;Type;Der-Die-Das;Mot en ALL;pluriel;Mot FR
allemand;voc7;p46;33;verbe;;sich fühlen, er fühlt sich, hat sich gefühlt;;se sentir (conjugaison)
allemand;voc7;p46;34;mot;;fehlen;;manquer, tu me manques
allemand;voc7;p46;35;verbe;;fehlen, du fehlst mir, du hast mir gefehlt;;manquer, tu me manques, tu m’as manqué
allemand;voc7;p47;1;mot;;sportlich;;sportif-ive
allemand;voc7;p47;2;mot;;unsportlich;;pas sportif-ive
allemand;voc7;p47;3;mot;;intelligent;;intelligent-e
allemand;voc7;p47;4;mot;;dumm;;bête
allemand;voc7;p47;5;mot;;lustig;;drôle,amusant-e
allemand;voc7;p47;6;mot;;traurig;;triste
allemand;voc7;p47;7;mot;;sympathisch;;sympathique
allemand;voc7;p47;8;mot;;unsympathisch;;antipathique,désagréable
allemand;voc7;p47;9;mot;;fair;;juste
allemand;voc7;p47;10;mot;;unfair;;injuste
allemand;voc7;p47;11;mot;;glücklich;;heureux-euse
allemand;voc7;p47;12;mot;;unglücklich;;malheureux-euse
allemand;voc7;p47;13;mot;;freundlich;;aimable
allemand;voc7;p47;14;mot;;unfreundlich;;peu aimable,désagréable
allemand;voc7;p47;15;mot;;geduldig;;patient-e
allemand;voc7;p47;16;mot;;ungeduldig;;impatient-e
allemand;voc7;p47;17;mot;;pünktlich;;ponctuel-le
allemand;voc7;p47;18;mot;;unpünktlich;;en retard
allemand;voc7;p47;19;mot;;mutig;;courageux-euse
allemand;voc7;p47;20;mot;;feige;;lâche
allemand;voc7;p47;21;mot;;ehrlich;;sincère
allemand;voc7;p47;22;mot;;unehrlich;;pas franc, franche
allemand;voc7;p47;23;mot;;komisch;;drôle,bizarre
allemand;voc7;p47;24;phrase;;Du bist lustig.;;Tu es drôle.
allemand;voc7;p47;25;phrase;;Dein T-Shirt ist cool.;;Ton t-shirt est cool.
allemand;voc7;p47;26;mot;das;Kompliment;-e;le compliment
allemand;voc7;p47;27;phrase;;Komplimente machen, er macht, hat gemacht;;faire des compliments
allemand;voc7;p47;28;mot;;gefallen;;plaire
allemand;voc7;p47;29;verbe;;er gefällt ihm;;il lui plaît
allemand;voc7;p47;30;verbe;;er hat ihm gefallen;;il lui a plu
allemand;voc7;p47;31;phrase;;Du kannst gut singen.;;Tu sais bien chanter.
allemand;voc7;p47;32;phrase;;Ich finde dich nett.;;Je pense que tu es gentil.
allemand;voc7;p47;33;phrase;;Ich mag dein Lachen.;;J’aime bien ton rire.
anglais;unit5;p50;1;verbe;;arrive, arrived;;arriver
anglais;unit5;p50;2;verbe;;call, called;;appeler
anglais;unit5;p50;3;verbe;;change, changed;;changer
anglais;unit5;p50;4;verbe;;climb, climbed;;monter
anglais;unit5;p50;5;verbe;;die, died;;mourir
anglais;unit5;p50;6;verbe;;end, ended;;s’achever
anglais;unit5;p50;7;verbe;;finish, finished;;finir
anglais;unit5;p50;8;verbe;;happen, happened;;se passer
